2024-11-04 17:35:05.551 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 3.0898780822753906, Gravity-Corrected Acc: 3.7078536987304687, Filtered Acc: 4.365633408673133, Velocity: 0.9106150961014777, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.562 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 1.8159966468811035, Gravity-Corrected Acc: 2.1791959762573243, Filtered Acc: 3.0537709492236482, Velocity: 1.0424833296800584, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.571 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.8659538626670837, Gravity-Corrected Acc: 1.0391446352005005, Filtered Acc: 1.8449951608097597, Velocity: 0.8749853535970162, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.581 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.24397523701190948, Gravity-Corrected Acc: 0.29277028441429137, Filtered Acc: 0.9136602349724787, Velocity: 0.9859992254200399, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.593 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.26978009939193726, Gravity-Corrected Acc: 0.3237361192703247, Filtered Acc: 0.5597057655511863, Velocity: 1.1920392665071897, dt: 0.012, Displacement (cm): 6.0
2024-11-04 17:35:05.601 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.30667993426322937, Gravity-Corrected Acc: 0.3680159211158752, Filtered Acc: 0.4446918588899997, Velocity: 0.8985492391903781, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.611 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.6254958510398865, Gravity-Corrected Acc: 0.7505950212478637, Filtered Acc: 0.6282337563047181, Velocity: 1.0037526716208376, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.622 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.8574430346488953, Gravity-Corrected Acc: 1.0289316415786742, Filtered Acc: 0.8686524874690917, Velocity: 1.0112371028397067, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.632 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 1.0303210020065308, Gravity-Corrected Acc: 1.2363852024078368, Filtered Acc: 1.0892921164323388, Velocity: 1.021026825859214, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.641 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 1.245403528213501, Gravity-Corrected Acc: 1.4944842338562012, Filtered Acc: 1.3324073868866564, Velocity: 0.9298217910382285, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.655 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 1.3367136716842651, Gravity-Corrected Acc: 1.6040564060211182, Filtered Acc: 1.4953967983673335, Velocity: 1.3614566475927032, dt: 0.013, Displacement (cm): 6.0
2024-11-04 17:35:05.660 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 1.277956247329712, Gravity-Corrected Acc: 1.5335474967956542, Filtered Acc: 1.518287217424326, Velocity: 0.6374056586286222, dt: 0.006, Displacement (cm): 6.0
2024-11-04 17:35:05.670 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 1.1253341436386108, Gravity-Corrected Acc: 1.350400972366333, Filtered Acc: 1.4175554703895301, Velocity: 1.1847241756021178, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.682 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.9251741170883179, Gravity-Corrected Acc: 1.1102089405059814, Filtered Acc: 1.2331475524594009, Velocity: 1.090275492934351, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.691 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.7249970436096191, Gravity-Corrected Acc: 0.869996452331543, Filtered Acc: 1.0152568923826861, Velocity: 1.1015175151585614, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.701 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: 0.35185670852661133, Gravity-Corrected Acc: 0.4222280502319336, Filtered Acc: 0.6594395870922346, Velocity: 1.1098909975559361, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.710 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.07998089492321014, Gravity-Corrected Acc: -0.09597707390785216, Filtered Acc: 0.20618959049218258, Velocity: 1.1142191434438582, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.722 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.5421428680419922, Gravity-Corrected Acc: -0.6505714416503906, Filtered Acc: -0.3078670287933613, Velocity: 1.2250818318775885, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.733 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.9489181041717529, Gravity-Corrected Acc: -1.1387017250061036, Filtered Acc: -0.8063678465210067, Velocity: 1.2189535400633595, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.745 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.2453092336654663, Gravity-Corrected Acc: -1.4943710803985595, Filtered Acc: -1.2191697868475382, Velocity: 0.9882107043380446, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.753 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.6523185968399048, Gravity-Corrected Acc: -1.9827823162078857, Filtered Acc: -1.6773373044637467, Velocity: 1.3002352299028574, dt: 0.012, Displacement (cm): 6.0
2024-11-04 17:35:05.762 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.9087631702423096, Gravity-Corrected Acc: -2.2905158042907714, Filtered Acc: -2.045244404359962, Velocity: 0.8519331597666105, dt: 0.008, Displacement (cm): 6.0
2024-11-04 17:35:05.771 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.9486812353134155, Gravity-Corrected Acc: -2.3384174823760984, Filtered Acc: -2.2211482511696437, Velocity: 1.0435844864306147, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.781 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.8495256900787354, Gravity-Corrected Acc: -2.2194308280944823, Filtered Acc: -2.220117797324547, Velocity: 1.0213781561881439, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.793 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.7945584058761597, Gravity-Corrected Acc: -2.1534700870513914, Filtered Acc: -2.1801291711606536, Velocity: 1.0993146134802907, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.802 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.7587970495224, Gravity-Corrected Acc: -2.11055645942688, Filtered Acc: -2.1383855441203896, Velocity: 0.880005912992382, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.814 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.5613573789596558, Gravity-Corrected Acc: -1.873628854751587, Filtered Acc: -1.979531530499108, Velocity: 1.2443531911150802, dt: 0.013, Displacement (cm): 6.0
2024-11-04 17:35:05.822 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.4374661445617676, Gravity-Corrected Acc: -1.724959373474121, Filtered Acc: -1.8267882362841157, Velocity: 0.6567142144936093, dt: 0.007, Displacement (cm): 6.0
2024-11-04 17:35:05.835 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.4016445875167847, Gravity-Corrected Acc: -1.6819735050201416, Filtered Acc: -1.7398993975257313, Velocity: 1.1964286430112254, dt: 0.013, Displacement (cm): 6.0
2024-11-04 17:35:05.842 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.3466907739639282, Gravity-Corrected Acc: -1.6160289287567138, Filtered Acc: -1.6655771162643207, Velocity: 0.6323116399770097, dt: 0.007, Displacement (cm): 6.0
2024-11-04 17:35:05.852 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.3267278671264648, Gravity-Corrected Acc: -1.5920734405517578, Filtered Acc: -1.621474910836783, Velocity: 0.9755537909576748, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.861 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.3842244148254395, Gravity-Corrected Acc: -1.6610692977905273, Filtered Acc: -1.6452315430090296, Velocity: 0.7834801953776089, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.873 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.331947922706604, Gravity-Corrected Acc: -1.5983375072479247, Filtered Acc: -1.6170951215523668, Velocity: 0.9396441088064351, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.881 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.4239230155944824, Gravity-Corrected Acc: -1.708707618713379, Filtered Acc: -1.6720626198489739, Velocity: 0.7539985155507766, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.891 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.6024376153945923, Gravity-Corrected Acc: -1.9229251384735107, Filtered Acc: -1.822580131023696, Velocity: 0.8203029146353877, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.901 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.5540430545806885, Gravity-Corrected Acc: -1.8648516654968261, Filtered Acc: -1.8479430517075741, Velocity: 0.8019502987217314, dt: 0.01, Displacement (cm): 6.0
